dish
25
1
1
1
1
1
1
1
1
3
1
1
3
6
1
3
1
1
1
6
1
1
1
6
1
1
3
1
1
2
1
5
1
6
11
1
1
1
6
1
2
1
1
1
11
1
5
3
1
6
1
1
6
1
1
1
6
1
6
6
1
2
3
3
11
3
5
1
1
1
6
1
1
1
3
1
1
3
11
1
1
6
7
1
1
1
1
3
1
1
2
6
1
1
6
1
3
1
1
6
11
11
1
2
1
6
1
1
1
1
1
1
1
1
3
1
2
25
25
11
1
25
25
25
25
25
25
1
1
25
6
25
25
1
25
1
25
25
25
25
25
25
1
1
3
25
25
25
25
25
25
25
1
1
25
25
25
25
1
25
1
25
3
25
6
25
25
1
25
25
1
25
2
25
25
3
25
25
25
1
25
1
25
25
1
25
25
25
25
25
25
25
1
25
25
25
25
25
25
6
25
1
25
25
25
25
25
25
25
25
1
5
1
25
25
1
25
6
1
25
25
25
25
1
25
25
1
25
25
25
25
25
1
25
25
1
25
25
25
25
1
25
25
25
1
25
1
6
1
25
1
6
25
1
25
25
25
25
25
25
25
25
1
25
1
25
25
25
25
25
25
25
25
1
25
25
25
25
25
25
25
25
25
25
25
6
25
25
25
25
1
1
25
25
25
11
1
25
25
1
1
3
25
25
1
25
25
25
1
1
25
25
25
25
25
25
25
25
25
25
25
25
25
25
1
25
1
25
5
1
25
25
25
25
25
25
25
25
25
25
25
1
25
1
25
25
25
25
25
25
25
25
25
25
25
25
25
25
25
25
1
1
25
25
25
25
6
25
1
25
25
25
25
25
25
25
6
25
25
25
25
1
1
25
25
1
1
25
25
25
1
25
25
25
25
25
11
25
25
1
25
25
25
25
1
25
25
1
25
25
1
1
25
25
1
25
25
25
25
25
25
25
25
25
25
1
3
25
25
25
25
25
25
1
25
1
1
1
25
25
1
25
1
25
3
25
25
25
25
1
11
25
25
25
25
25
1
25
25
1
1
25
25
25
25
25
1
25
25
1
25
25
25
25
25
1
2
1
25
25
25
1
25
25
25
25
25
10
25
25
1
25
1
25
25
25
25
25
25
6
25
6
25
25
25
25
6
5
25
25
25
1
1
25
25
25
25
3
25
25
25
25
25
3
25
25
25
2
25
1
25
25
25
1
25
25
25
25
1
25
1
25
25
1
25
25
1
25
1
25
25
25
25
25
25
25
25
25
25
25
25
25
25
25
1
25
25
1
1
6
1
25
25
25
25
25
25
25
25
25
25
1
25
25
1
6
25
25
25
25
25
25
1
1
25
25
1
25
6
6
1
25
25
6
25
25
25
3
25
1
25
25
1
25
25
25
25
25
25
25
25
25
25
25
25
25
1
25
1
25
25
25
25
6
25
1
25
1
25
25
25
25
1
25
1
1
1
1
25
25
25
25
25
11
25
25
25
6
6
25
1
25
25
25
5
25
25
25
25
25
1
1
1
1
6
1
25
25
1
25
25
25
25
25
25
25
25
1
25
25
1
25
25
1
25
25
6
1
1
1
25
1
25
1
25
2
25
1
25
1
6
25
25
25
25
25
1
2
1
25
1
1
1
25
1
25
25
1
1
25
1
25
1
1
1
6
1
25
25
1
1
25
6
1
6
1
1
3
25
25
25
25
11
3
25
2
1
1
25
1
6
5
25
1
1
1
1
1
1
25
25
1
25
1
1
6
1
3
1
25
3
25
1
3
25
25
25
25
1
1
25
11
